,Unnamed: 0,hydro_year,NivelConsistencia,Media,Predicted_Runoff,runoff_mm
44,44,1945,1.0,225.75,105.52499999999999,105.52499999999999
45,45,1946,1.0,263.8333333333333,119.99666666666666,119.99666666666666
46,46,1947,1.0,268.8333333333333,121.89666666666666,121.89666666666666
47,47,1948,1.0,166.16666666666666,82.88333333333333,82.88333333333333
48,48,1949,1.0,250.0,114.74,114.74
49,49,1950,1.0,284.9166666666667,128.00833333333335,128.00833333333335
50,50,1951,1.0,275.0833333333333,124.27166666666666,124.27166666666666
51,51,1952,1.0,261.25,119.015,119.015
52,52,1953,1.0,201.33333333333331,96.24666666666666,96.24666666666666
53,53,1954,1.0,232.66666666666663,108.15333333333332,108.15333333333332
54,54,1955,1.0,198.25,95.075,95.075
55,55,1956,1.0,194.66666666666663,93.71333333333331,93.71333333333331
56,56,1957,1.0,309.9166666666667,137.50833333333335,137.50833333333335
57,57,1958,1.0,322.6666666666667,142.35333333333335,142.35333333333335
58,58,1959,1.0,408.8333333333333,175.09666666666666,175.09666666666666
59,59,1960,1.0,322.25,142.195,142.195
60,60,1961,1.0,278.1666666666667,125.44333333333334,125.44333333333334
61,61,1962,1.0,161.83333333333334,81.23666666666666,81.23666666666666
62,62,1963,1.0,215.5,101.63,101.63
63,63,1964,1.0,82.75,51.185,51.185
64,64,1965,1.0,141.0,73.32,85.46878448020219
65,65,1966,1.0,150.91666666666666,77.08833333333332,87.31882908435776
66,66,1967,1.0,91.08333333333331,54.35166666666666,62.47178008738042
67,67,1968,1.0,86.66666666666667,52.67333333333333,63.91268735366109
68,68,1969,1.0,82.08333333333333,50.931666666666665,62.35528884508741
69,69,1970,1.0,99.75,57.644999999999996,63.507029717861
70,70,1971,1.0,45.16666666666666,36.90333333333333,53.73115560913983
71,71,1972,1.0,83.83333333333333,51.596666666666664,58.23257113833439
72,72,1973,1.0,128.25,68.475,71.1357700919833
73,73,1974,1.0,280.6944444444444,126.40388888888887,135.85704477486763
74,74,1975,1.0,287.75,129.085,126.44831749825934
75,75,1976,1.0,303.0833333333333,134.91166666666666,117.57415438864766
76,76,1977,1.0,398.0555555555556,171.00111111111113,171.6509574028507
77,77,1978,1.0,389.3333333333333,167.68666666666667,165.00918297944878
78,78,1979,1.0,406.1944444444444,174.09388888888887,211.52805958245216
79,79,1980,1.0,370.5833333333333,160.56166666666667,190.2018703783792
80,80,1981,1.0,385.0,166.04000000000002,169.26289143739916
81,81,1982,1.0,389.5555555555556,167.77111111111114,201.2018883717389
82,82,1983,1.0,403.1111111111111,172.92222222222222,224.93080510615053
83,83,1984,1.0,380.6666666666667,164.39333333333335,148.6187418462135
84,84,1985,1.0,421.47222222222223,179.89944444444447,196.27893822198632
85,85,1986,1.0,291.5,130.51,126.32300770956972
86,86,1987,1.0,323.3333333333333,142.60666666666665,125.39419734889432
87,87,1988,1.0,378.25,163.47500000000002,190.7206520932744
88,88,1989,1.0,389.5,167.75,184.6998942021305
89,89,1990,1.0,341.75,149.60500000000002,147.21082197554006
90,90,1991,1.0,354.8333333333333,154.57666666666668,132.43641210576158
91,91,1992,1.0,364.5833333333333,158.28166666666667,165.85919361849432
92,92,1993,1.0,410.8333333333333,175.85666666666668,176.6985916251372
93,93,1994,1.0,262.5555555555556,119.51111111111112,105.48731694984065
94,94,1995,1.0,399.5833333333333,171.58166666666668,181.37690026265332
95,95,1996,1.0,340.94444444444446,149.2988888888889,152.13198500792691
96,96,1997,1.0,403.72222222222223,173.15444444444447,157.61471703621976
