system:index,system:index,ETr
1995,5,101.0361037
1995,6,116.8232857
1995,7,145.9661135
1995,8,186.8097366
1995,9,197.662735
1995,10,181.7560882
1995,11,162.8698484
1995,12,163.7967894
1996,1,166.1213883
1996,2,160.3277817
1996,3,132.0858959
1996,4,131.5444339
1996,5,96.11732817
1996,6,106.7770105
1996,7,125.5882478
1996,8,164.4142071
1996,9,151.9574736
1996,10,172.987161
1996,11,146.682579
1996,12,184.590201
1997,1,143.8605596
1997,2,132.2831225
1997,3,131.3776968
1997,4,117.2934714
1997,5,110.9101652
1997,6,104.2569504
1997,7,138.9812326
1997,8,169.977802
1997,9,181.4147281
1997,10,207.4464772
1997,11,185.9741037
1997,12,188.5564828
1998,1,184.50982
1998,2,134.0091937
1998,3,137.9122819
1998,4,122.5783777
1998,5,114.6439213
1998,6,108.5879998
1998,7,132.6058618
1998,8,124.2813935
1998,9,153.3058936
1998,10,166.5970637
1998,11,145.4645864
1998,12,171.4427381
1999,1,166.2182846
1999,2,149.5654843
1999,3,129.5651277
1999,4,126.7136319
1999,5,124.3106316
1999,6,100.1277997
1999,7,123.7446324
1999,8,182.9492999
1999,9,192.0062904
1999,10,197.8266556
1999,11,164.3034624
1999,12,156.6253976
2001,1,176.7332327
2001,2,151.8728691
2001,3,143.0023972
2001,4,135.7769434
2001,5,99.93783622
2001,6,109.0181581
2001,7,143.5726424
2001,8,195.4147972
2001,9,180.4761632
2001,10,174.7388679
2001,11,152.2663507
2001,12,148.7454432
2002,1,189.8849664
2002,2,122.6209001
2002,3,168.6812276
2002,4,138.6626377
2002,5,128.4740757
2002,6,121.8109427
2002,7,125.2609444
2002,8,177.1128352
2002,9,187.4246835
2002,10,239.1562707
2002,11,217.0346241
2002,12,192.1644335
2003,1,159.9833298
2003,2,154.7678184
2003,3,143.6601209
2003,4,122.487042
2003,5,132.4890797
2003,6,118.8503447
2003,7,139.5732785
2003,8,170.5254112
2003,9,175.7746689
2003,10,190.3309012
2003,11,194.5729382
2003,12,178.8245724
2004,1,168.7137767
2004,2,151.7210168
2004,3,162.4277852
2004,4,135.2337405
2004,5,90.00046878
2004,6,112.5345396
2004,7,125.5214082
2004,8,173.3043891
2004,9,207.7463962
2004,10,195.5453417
2004,11,178.4902207
2004,12,183.5889486
2005,1,150.9729257
2005,2,150.7908659
2005,3,151.9608256
2005,4,134.5136833
2005,5,130.902166
2005,6,118.1490117
2005,7,147.1850884
2005,8,204.5258017
2005,9,184.0273515
2005,10,176.214798
2005,11,158.5432904
2005,12,164.5251401
2006,1,154.3591737
2006,2,147.8860199
2006,3,141.0741329
2006,4,114.6285002
2006,5,131.6917175
2006,6,122.160195
2006,7,159.1495864
2006,8,195.0034412
2006,9,180.9614516
2006,10,160.6605016
2006,11,177.8380096
2006,12,150.9037327
2007,1,145.6000062
2007,2,127.7537337
2007,3,162.4780547
2007,4,138.5606499
2007,5,126.1649186
2007,6,135.8989667
2007,7,140.3376724
2007,8,179.5098448
2007,9,216.2305488
2007,10,189.4218814
2007,11,155.3349067
2007,12,156.2640226
2008,1,136.2322866
2008,2,143.9192359
2008,3,136.567799
2008,4,127.1916418
2008,5,117.2952376
2008,6,97.99135547
2008,7,156.2114068
2008,8,169.688516
2008,9,197.4167704
2008,10,184.6988483
2008,11,173.3271049
2008,12,177.2767107
2009,1,181.2186267
2009,2,141.3151659
2009,3,137.2177422
2009,4,133.9935937
2009,5,120.5168863
2009,6,102.3918363
2009,7,116.5413646
2009,8,164.5539302
2009,9,176.3883122
2009,10,190.5173756
2009,11,211.6685673
2009,12,169.1733932
2010,1,158.4172551
2010,2,149.7412697
2010,3,156.2641115
2010,4,148.2636723
2010,5,119.4617709
2010,6,131.2683281
2010,7,141.6428281
2010,8,190.584254
2010,9,206.2136657
2010,10,189.4316626
2010,11,177.317588
2010,12,205.142254
2011,1,155.399656
2011,2,122.6705717
2011,3,121.6412932
2011,4,124.0299863
2011,5,123.5405618
2011,6,117.7610868
2011,7,138.3510451
2011,8,178.1110377
2011,9,198.7011599
2011,10,192.6690457
2011,11,196.4026489
2011,12,172.3796065
2012,1,163.3121962
2012,2,150.667807
2012,3,152.6220863
2012,4,116.2097224
2012,5,108.8585282
2012,6,99.31656366
2012,7,121.9071253
2012,8,198.4292207
2012,9,208.4195703
2012,10,216.3151325
